Nombre del servidor(a) p�blico(a) ;Primer apellido del servidor(a) p�blico(a) ;Segundo apellido del servidor(a) p�blico(a) ;
ABEL ;ABARCA;AYALA;BOULEVARD DIAZ ORDAZ NO. 204 B, COLONIA CENTRO                                  
ALFONSO ;DE ALBA;AGUAYO;AUTOPISTA AEROPUERTO No 600 COL VALLE SOLEADO                                   
ALICIA VIRIDIANA;AYALA;ALCERRECA;CARRETERA MIGUEL ALEMAN NO. 1500 COLONIA VALLE DE HUINALA                       
CAROLINA ;AYALA;ACEVES;AV ALFONSO REYES No 3635 nte COL DEL NORTE                                      
FLOR KARINA;AMAYA;AVILA;CARLOS SALAZAR # 135 PTE CENTRO CD
JONATHAN ELIAS;ALVAREZ;ALZUA;ESPINOSA NO 1133 OTE CTRO CD                                                    
MARIO ;ALFARO;ALCANTARA;AV. MUNDIAL No. 176, PARQUE INDUSTRIAL JM
MARGARITA;ALCANTARA;ALCALA;ESPINOSA NO 135 OTE CENTRO CD                                                   
NANCY ROCIO;ALANIS;ARREDONDO;AVE. JOSE ELEUTERIO GONZALEZ NO. 2855, COLONIA MITRAS NORTE                     
RUBEN ;ALVAREZ;ANDRADE;AV EUGENIO GARZA SADA No 3868 sur COL MAS PALOMAS                               
RUBEN DARIO;ALVAREZ;ANGELES;LAREDO No 806 COL MITRAS NORTE                                                  
ANA LAURA;ALVARADO ;BATISTA ;POLOTITLAN No 333 COL MITRAS CENTRO                                             
EDUARDO ;ABARCA;BARTOLO;ARTEAGA  No 113 CENTRO CD GUADALUPE                                             
JUAN ;AYALA;BARBOSA;SANTIAGO TAPIA NO. 1450 OTE., COLONIA CENTRO                                    
MARIA DE LOURDES;ALCANTARA;BERNAL;AHUEHUETES # 2521-A COL.CERRO DE LA SILLA
MARLENE;ANDRADE;BENITEZ;VILLAGOMEZ No 1136 CTRO CD                                                      
PATRICIA;ALAMILLO;BEURET;CARR MIGUEL ALEMAN 110 KM 12.5 COL LA FE                                        
RUBEN ALEJANDRO;ALMARAZ;BRIONES;JUVENTINO ROSAS No 2351 COL BUENOS AIRES                                        
SILVIA PATRICIA;ADAME;BANDA;AV BENITO JUAREZ No 425 nte CTRO CD                                             
ANA BERTHA;ALCANTARA;CONTRERAS;AV BERNARDO REYES No 5505 nte COL CONSTITUYENTES DEL 57                         
MARIA CRISTINA;ALVARADO;CASTILLO;PADRE MIER NO. 544 OTE., COLONIA CENTRO                                         
GERARDO ;ANDRADE;CORNEJO;AVENIDA UNO No 498 PARQUE IND CARTAGENA
JAVIER ;ALAVIDTH;COVARRUBIAS;BRAZIL No 3936 COL DESARROLLO IND LAS TORRES
MARIA VICTORIA;ABNAL;CAAMAL;CALZADA VICTORIA No 120 pte  COL SARABIA
ZIRAHUEN ;ANAYA;CAMPOS;AVENIDA JM No 204 PARQUE IND JM
ALEJANDRO;ALDANA;DIAZ;CARLOS M AYALA No 2306 COL LOMAS
OSCAR HECTOR;ALVA;DELGADILLO;REFORMA NO. 940 OTE., COLONIA CENTRO                                            
